year,site,plant,seeds
2014,91,33,12
2014,91,33,4
2014,91,18,13
2014,91,18,14
2014,91,18,15
2014,91,18,16
2014,91,18,20
2014,91,18,16
2014,91,18,15
2014,91,21,9
2014,91,21,14
2014,91,21,17
2014,91,21,11
2014,91,21,11
2014,91,24,9
2014,91,24,9
2014,91,24,9
2014,91,34,12
2014,91,34,0
2014,91,34,7
2014,91,34,0
2014,91,34,10
2014,91,34,15
2014,91,34,10
2014,91,34,0
2014,91,45,15
2014,91,45,14
2014,91,45,4
2014,91,47,6
2014,91,47,0
2014,91,47,3
2014,91,47,0
2014,91,47,0
2014,91,49,19
2014,91,49,0
2014,91,49,17
2014,91,49,9
2014,91,49,2
2014,91,50,7
2014,91,50,6
2014,91,52,0
2014,91,53,2
2014,91,32,8
2014,91,32,12
2014,91,32,9
2014,91,32,13
2014,91,32,7
2014,91,32,9
2014,91,32,6
2014,91,54,7
2014,91,54,10
2014,91,54,15
2014,91,54,6
2014,91,54,11
2014,91,56,6
2014,91,56,10
2014,91,56,6
2014,91,56,7
2014,91,56,17
2014,91,59,5
2014,91,59,7
2014,91,59,9
2014,91,59,16
2014,91,59,14
2014,91,61,9
2014,91,61,13
2014,91,61,9
2014,91,61,7
2014,91,61,7
2014,91,64,8
2014,91,64,8
2014,91,64,15
2014,91,64,12
2014,91,64,10
2014,91,22,11
2014,91,22,13
2014,91,27,9
2014,91,27,4
2014,91,27,14
2014,91,27,14
2014,91,27,4
2014,91,27,7
2014,91,28,6
2014,91,28,0
2014,91,28,2
2014,91,28,15
2014,91,36,11
2014,91,36,0
2014,91,37,0
2014,91,37,7
2014,91,37,7
2014,91,37,5
2014,91,37,0
2014,91,37,11
2014,91,37,0
2014,91,37,8
2014,91,37,0
2014,91,37,6
2014,91,38,0
2014,91,38,0
2014,91,38,0
2014,91,38,0
2014,91,38,6
2014,91,38,0
2014,91,38,2
2014,91,38,0
2014,91,39,0
2014,91,39,0
2014,91,39,0
2014,91,39,0
2014,91,39,12
2014,91,39,0
2014,91,39,6
2014,91,39,0
2014,91,40,0
2014,91,40,0
2014,91,40,4
2014,91,40,2
2014,91,40,2
2014,91,40,2
2014,91,40,0
2014,91,40,4
2014,91,40,0
2014,91,41,0
2014,91,41,0
2014,91,41,0
2014,91,41,0
2014,91,42,0
2014,91,42,17
2014,91,42,0
2014,91,42,0
2014,91,42,0
2014,91,44,8
2014,91,44,9
2014,91,31,14
2014,91,31,0
2014,91,55,0
2014,91,55,0
2014,91,55,2
2014,91,57,0
2014,91,57,0
2014,91,57,13
2014,91,57,3
2014,91,57,0
2014,91,58,0
2014,91,58,11
2014,91,58,14
2014,91,58,16
2014,91,58,15
2014,91,60,0
2014,91,60,13
2014,91,60,10
2014,91,60,13
2014,91,60,10
2014,91,62,0
2014,91,62,18
2014,91,62,17
2014,91,62,20
2014,91,62,16
2014,91,63,17
2014,91,63,11
2014,91,63,15
2014,91,63,19
2014,91,63,17
2014,91,65,18
2014,91,65,18
2014,91,65,16
2014,91,65,14
2014,91,65,11
