TILL122	HT122	TILL155	HT155	TILL187	HT187	TILL222	HT222	TILL264	HT264	TILL332	HT332	TILL412	HT412	Tiller_Number	Tiller	id
3	8	6	15.8	13	18.1	17	19.2	37	25.6	58	25.6	58	25.9	14	24.4	116
3	4.2	1	7.1	5	18.1	10	23.5	26	26.2	43	28.9	NA	NA	4	24.4	117
3	9.1	4	17.2	7	18.1	13	26	19	31.1	37	31.2	41	22.5	3	24.4	118
3	5.5	3	12.5	6	18.2	9	24.5	20	30.3	25	32	27	31.8	28	24.3	119
3	6.3	4	15.1	8	18.3	11	19.9	31	20.6	46	22.5	58	23.5	20	24.3	120
3	5.3	3	12	6	18.5	9	23.1	23	35.4	38	35.4	39	29.7	4	24.3	121
3	5.2	3	14	10	18.8	16	23.1	27	26.5	51	26.8	64	28.7	2	24.3	122
3	7.1	2	12.4	4	18.9	7	20.3	27	26.4	41	26.4	39	25	3	24.2	123
3	4.3	2	9.3	4	19.1	7	20.8	21	24.6	28	26.8	31	26	10	24.1	124
2	7.2	2	10.2	4	19.1	8	27.4	13	32.1	21	33.7	21	26	46	24	125
3	5.9	3	11.6	10	19.3	13	24.2	38	30.5	58	32.9	72	31.1	10	24	126
3	5.8	2	9.2	5	19.3	8	28.7	14	30.7	17	31.5	19	30.6	22	23.8	127
2	3.5	3	15.9	7	19.3	9	26.5	30	36.1	39	45.1	51	44.4	37	23.7	128
4	7.4	5	13	13	19.4	15	21.5	44	24.4	66	28.9	96	29.1	15	23.7	129
3	6.9	4	15.7	11	19.4	12	23.7	38	26.4	54	31.7	60	30.8	1	23.7	130
3	6.6	5	9.6	8	19.4	11	23.6	36	30.5	52	34.4	59	33.6	53	23.4	131
3	6.6	4	14.5	10	19.4	13	21.6	29	31.7	49	34.1	50	25.7	2	23.4	132
3	6	3	9.7	6	19.4	8	23.7	24	37.3	31	40.2	41	39.6	37	23.3	133
5	9.2	6	19.5	14	19.5	5	19.5	19	19.7	NA	NA	NA	NA	2	23.2	134
2	6.7	2	12.4	3	19.5	5	22.3	15	30.3	19	34.7	32	32.1	11	23	135
3	6.8	4	15.3	5	19.5	8	29.1	20	34	38	43.5	41	43	8	23	136
3	4	3	11.9	6	19.6	11	24.8	24	27.5	38	29.8	46	29.5	48	22.8	137
2	2.7	2	9.1	5	19.6	10	22.8	26	29	47	29	57	27.5	3	22.8	138
3	7.6	3	14.3	5	19.9	10	21.6	28	23	44	24.6	55	24.2	3	22.6	139
3	9.4	4	18.2	5	20.1	6	20.4	16	20.7	17	20.7	18	11.7	4	22.5	140
3	5.6	2	14.2	4	20.2	6	27.5	16	28.9	25	33.7	37	32.4	6	22.4	141
3	7	3	15.6	6	20.2	10	24	21	30.1	40	32.6	49	25.4	2	22.4	142
2	2.2	1	8.5	3	20.2	4	32.6	12	44	25	50.6	19	43.4	27	22.2	143
3	7.6	3	11.8	4	20.4	5	24.1	9	26.1	10	26.4	9	26.6	4	22.2	144
3	4.7	4	16	7	20.5	12	26.3	30	28	45	28.9	57	28.6	1	22.2	145
NA	NA	6	18.4	12	20.6	12	21.7	21	29	38	32.9	NA	NA	1	22.1	146
