bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
42	1	129	1994	1994	1993	5	26	0	36	sg	sm	1										
42	1	130	1994	1994	1993	7	19	0	22	sg	sm	1										
42	1	131	1994	1994	1993	4	6	0	0	sg	ve	1										
42	1	132	1994	1994	1993	25	47	0	253	sg	me	1										
42	1	133	1994	1994	1993	5	26	0	24	sg	sm	1										
42	1	134	1994	1994	1993	22	51	8	264	sg	la	1										
42	1	135	1994	1994	1993	20	39	4	115	sg	me	1										
42	1	136	1994	1994	1993	19	37	4	102	sg	me	1										
42	1	137	1994	1994	1993	20	55	7	656	sg	la	1										
42	1	138	1994	1994	1993	10	32	0	113	sg	sm	1										
42	1	139	1994	1994	1993	3	27	0	24	sg	sm	1										
42	1	140	1994	1994	1993	19	50	6	431	sg	me	1										
42	1	141	1994	1994	1993	2	32	0	89	sg	sm	1										
42	1	142	1994	1994	1993	9	49	0	141	sg	me	1										
42	1	143	1994	1994	1993	4	18	0	25	sg	sm	1										
42	1	144	1994	1994	1993	6	27	0	42	sg	sm	1										
42	1	145	1994	1994	1993	4	28	0	52	sg	sm	1										
42	1	146	1994	1994	1993	4	15	0	4	sg	sm	1										
42	1	147	1994	1994	1993	5	14	0	4	sg	sm	1										
42	1	148	1994	1994	1993	2	12	0	2	sg	sm	1										
42	1	149	1994	1994	1993	9	25	0	28	sg	sm	1										
42	1	150	1994	1994	1993	2	3	0	0	sg	ve	1										
42	1	151	1994	1994	1993	5	8	0	0	sg	ve	1										
42	1	152	1994	1994	1993	9	27	0	17	sg	sm	1										
42	1	153	1994	1994	1993	6	9	0	0	sg	ve	1										
42	1	154	1994	1994	1993	5	21	0	9	sg	sm	1										
42	1	155	1994	1994	1993	3	7	0	0	sg	ve	1										
42	1	156	1994	1994	1993	20	32	11	75	sg	sm	1										
42	1	157	1994	1994	1993	2	20	0	12	sg	sm	1										
42	1	158	1994	1994	1993	8	52	0	203	sg	la	1										
42	1	159	1994	1994	1993	27	42	19	258	sg	me	1										
42	1	160	1994	1994	1993	25	38	19	466	sg	me	1										
42	1	5108	1994	1994	1993	6	NA	0	NA	sg	rip	1										
42	1	5123	1994	1994	1993	2	4	0	0	sg	ve	1										
42	2	161	1994	1994	1993	17	34	0	180	sg	me	1										
42	2	162	1994	1994	1993	6	33	0	70	sg	sm	1										
42	2	163	1994	1994	1993	27	28	27	47	sg	sm	1										
42	2	164	1994	1994	1993	5	20	0	11	sg	sm	1										
42	2	165	1994	1994	1993	5	16	0	0	sg	ve	1										
42	2	166	1994	1994	1993	3	26	0	20	sg	sm	1										
42	2	167	1994	1994	1993	16	34	2	40	sg	me	1										
42	2	168	1994	1994	1993	2	16	0	0	sg	ve	1										
42	2	169	1994	1994	1993	7	25	0	41	sg	sm	1										
42	2	170	1994	1994	1993	8	30	0	57	sg	sm	1										
42	3	91	1994	1994	1993	20	40	9	163	sg	me	1										
42	3	92	1994	1994	1993	11	28	0	35	sg	sm	1										
42	3	93	1994	1994	1993	6	33	0	75	sg	sm	1										
42	3	94	1994	1994	1993	11	35	0	99	sg	me	1										
42	3	95	1994	1994	1993	18	50	4	212	sg	me	1										
42	3	96	1994	1994	1993	3	39	0	75	sg	me	1										
42	3	97	1994	1994	1993	2	8	0	0	sg	ve	1										
42	3	98	1994	1994	1993	3	19	0	9	sg	sm	1										
42	3	99	1994	1994	1993	21	34	10	75	sg	me	1										
42	3	100	1994	1994	1993	6	36	0	49	sg	me	1										
50	1	171	1994	1994	1993	17	35	0	322	sg	me	NA										
50	1	172	1994	1994	1993	7	29	0	39	sg	sm	NA										
50	1	173	1994	1994	1993	7	25	0	34	sg	sm	NA										
50	1	175	1994	1994	1993	6	30	0	23	sg	sm	1										
50	1	176	1994	1994	1993	2	NA	0	NA	sg	rip	1										
50	1	177	1994	1994	1993	5	49	0	210	sg	me	1										
50	1	178	1994	1994	1993	11	55	0	147	sg	la	1										
50	1	179	1994	1994	1993	23	38	5	56	sg	me	1										
50	1	180	1994	1994	1993	8	31	0	59	sg	sm	1										
50	1	181	1994	1994	1993	3	33	0	50	sg	sm	1										
50	1	182	1994	1994	1993	10	30	0	82	sg	sm	1										
50	1	183	1994	1994	1993	6	47	0	64	sg	me	1										
50	1	184	1994	1994	1993	21	62	8	926	sg	la	1										
50	1	185	1994	1994	1993	28	48	31	291	sg	me	1										
50	1	186	1994	1994	1993	5	34	0	109	sg	me	1										
50	1	187	1994	1994	1993	4	36	0	72	sg	me	1										
50	1	188	1994	1994	1993	1	7	0	0	sg	ve	1										
50	1	190	1994	1994	1993	2	16	0	0	sg	ve	1										
50	1	191	1994	1994	1993	7	37	0	101	sg	me	1										
50	1	192	1994	1994	1993	7	50	0	335	sg	me	1										
50	1	193	1994	1994	1993	19	52	9	488	sg	la	1										
50	1	194	1994	1994	1993	12	62	0	366	sg	la	1										
50	1	195	1994	1994	1993	3	44	0	175	sg	me	1										
50	1	196	1994	1994	1993	4	28	0	25	sg	sm	1										
50	1	198	1994	1994	1993	11	42	0	112	sg	me	1										
50	1	199	1994	1994	1993	7	28	0	58	sg	sm	1										
50	1	200	1994	1994	1993	3	22	0	5	sg	sm	1										
50	1	201	1994	1994	1993	5	25	0	28	sg	sm	1										
50	1	202	1994	1994	1993	5	27	0	30	sg	sm	1										
50	1	203	1994	1994	1993	9	30	0	62	sg	sm	1										
50	1	204	1994	1994	1993	17	34	4	77	sg	me	1										
50	1	205	1994	1994	1993	12	43	0	103	sg	me	1										
50	1	206	1994	1994	1993	14	37	4	50	sg	me	1										
50	1	207	1994	1994	1993	10	30	0	50	sg	sm	1										
50	1	208	1994	1994	1993	7	23	0	20	sg	sm	1										
50	1	209	1994	1994	1993	6	20	0	5	sg	sm	1										
50	1	210	1994	1994	1993	2	24	0	9	sg	sm	1										
50	1	211	1994	1994	1993	14	31	0	40	sg	sm	1										
50	1	212	1994	1994	1993	8	28	0	36	sg	sm	1										
50	1	213	1994	1994	1993	6	29	0	41	sg	sm	1										
50	1	214	1994	1994	1993	7	26	0	27	sg	sm	1										
50	1	216	1994	1994	1993	2	27	0	13	sg	sm	1										
50	1	217	1994	1994	1993	4	28	0	27	sg	sm	1										
50	1	218	1994	1994	1993	2	22	0	14	sg	sm	1										
50	1	5174	1994	1994	1993	4	NA	0	NA	sg	rip	1										
50	1	5189	1994	1994	1993	8	NA	0	NA	sg	rip	1										
50	1	5215	1994	1994	1993	3	NA	0	NA	sg	rip	1										
50	1	5219	1994	1994	1993	4	NA	0	NA	sg	rip	1										
50	1	5220	1994	1994	1993	2	NA	0	NA	sg	rip	1										
50	2	523	1994	1994	1993	5	28	0	15	sg	sm	1										
50	2	524	1994	1994	1993	16	48	0	119	sg	me	1										
50	2	525	1994	1994	1993	27	44	0	513	sg	me	1										
50	2	526	1994	1994	1993	25	51	10	125	sg	la	1										
50	2	527	1994	1994	1993	30	42	10	29	sg	me	1										
50	2	528	1994	1994	1993	28	47	37	572	sg	me	1										
50	2	529	1994	1994	1993	27	52	0	474	sg	la	1										
50	2	530	1994	1994	1993	28	47	6	336	sg	me	1										
50	2	531	1994	1994	1993	21	44	2	300	sg	me	1										
50	2	532	1994	1994	1993	25	38	4	217	sg	me	1										
50	2	534	1994	1994	1993	3	19	0	0	sg	ve	7										
50	2	535	1994	1994	1993	3	24	0	3	sg	sm	1										
